Id,Prediction
0,4935977.097513686
1,3893285.2122597797
2,4624108.491068373
3,4275904.289408217
4,6144851.035746108
5,4516209.776224623
6,3780299.8216347797
7,5227172.144388686
8,5022848.344583998
9,4215078.357279311
10,5355921.639505873
11,5306591.939310561
12,5151610.503031264
13,6518124.541605483
14,4024048.0912881
15,5076732.719583998
16,5779619.885599623
17,5169579.69663478
18,5682917.980326186
19,3796794.131205092
20,3415215.0911660297
21,4123210.6766152484
22,4740585.621500502
23,3615705.177591811
24,5230430.564554702
25,3314333.412455092
26,2573370.789072524
27,4923415.58359767
28,4464511.96641017
29,5682787.913675795
30,6078048.101419936
31,2981819.8328652484
32,3257115.937357436
33,3942030.3519692523
34,3582291.6023964984
35,3810029.249857436
36,4026409.5379433734
37,5760599.087748061
38,2287445.4207558734
39,4121070.5633339984
40,4616559.470682631
41,4083120.191751967
42,4519622.470804702
43,3899576.090433608
44,5473564.073465834
45,4383845.838480483
46,4048551.9305214984
47,2658828.4697060687
48,4807926.739481459
49,4999434.175760756
50,4735663.120951186
51,5406113.746317397
52,4841837.383646498
53,4710247.555521498
54,2988636.604593764
55,4356533.269876967
56,5836547.590677748
57,5722661.55625392
58,4519106.960794936
59,4630109.823343764
60,2636494.9081826312
61,3467397.6542763812
62,3714299.1251015766
63,3467157.9394326312
64,4523481.515360366
65,4990751.406107436
66,3790280.5911660297
67,5587924.445169936
68,4823112.076395522
69,4828946.044779311
70,3099173.831522475
71,3195605.011942397
72,3615845.8921914203
73,3304961.517923842
74,6922149.356302748
75,4609207.727274428
76,5070294.680521498
77,5986932.887796889
78,4688291.650614272
79,5550567.476053725
80,5034993.717630873
81,4368767.189554702
82,5324533.552835952
83,3407305.21818019
84,6638338.185892592
85,2469612.3857522113
86,4507325.068644057
87,5026387.36094142
88,4068372.2426552875
89,4359605.103373061
90,5895951.149515639
91,3397011.892801772
92,3170416.822611342
93,5898118.424173842
94,5565997.433939467
95,5267679.417826186
96,5884714.722513686
97,4072734.924540053
98,3073330.687784682
99,4490360.476542006
100,3030639.746225844
101,2683690.551371108
102,4973266.62656642
103,4155342.558817397
104,3589460.5738320453
105,3894104.43693019
106,5353573.361673842
107,4051012.740244399
108,4843335.848490248
109,4727719.388803969
110,4990103.861429702
111,5475324.529154311
112,4956489.775125991
113,4296448.41929103
114,4318175.8246865375
115,4721903.389872084
116,4347081.1606240375
117,5033197.550638686
118,4035992.4056191547
119,5089260.134623061
120,6118595.327494155
121,5044763.838236342
122,4295742.222635756
123,6524986.016214858
124,4095576.2293496234
125,3872212.126383315
126,5939963.902201186
127,4210275.613138686
128,6226039.085794936
129,4401894.786966811
130,3792296.4441933734
131,5159546.384623061
132,5360517.219583998
133,3853198.5699868305
134,3588634.825296889
135,3274347.816629897
136,4899137.272806655
137,4315849.235453139
138,6096421.857279311
139,4348826.987406264
140,6033868.321390639
141,3576010.1277871234
142,5249242.389994155
143,3845107.339640151
144,5301750.676615248
145,3853942.21439601
146,4663118.984232436
147,4300259.140482436
148,4996577.738626967
149,4446147.475931655
150,3530988.815897475
151,3991525.0253701312
152,3952611.583841811
153,6153650.410013686
154,3232249.088480483
155,5937365.139750014
156,4531734.780375014
157,5086034.98960353
158,4120460.095560561
159,4025159.8859658344
160,3738121.141214858
161,3496773.228312026
162,3230367.8681740863
163,4320895.400248061
164,6627793.971048842
165,2913270.8277382953
166,4557817.357401381
167,5276184.888529311
168,4743380.488871108
169,5792421.237650405
170,4434824.788065444
171,3118493.9988808734
172,4866399.802713881
173,4376402.788431655
174,5575163.403299819
175,4743663.249857436
176,4412945.802591811
177,4885147.220560561
178,4600131.791605483
179,4288100.983988295
180,4433697.068216811
181,4272129.149027358
182,5199891.88047267
183,3481958.769388686
184,4536520.794046889
185,4378214.90757228
186,3821312.2685647113
187,6510240.199808608
188,5778455.640482436
189,4462388.881937514
190,4548713.079935561
191,5365845.282328139
192,5805717.360208998
193,4916705.042826186
194,4568836.760111342
195,4006238.6766152484
196,5335208.023539077
197,4098567.1899209125
198,5849310.128763686
199,3678050.58738185
200,3533248.629190932
201,6280644.697123061
202,4304528.7934365375
203,4477185.643534194
204,5139446.575052748
205,6046085.811380873
206,4040870.873392592
207,4762851.9352212055
208,5323657.772318373
209,4517320.038431655
210,5071364.686869155
211,5722900.799417983
212,4755527.436625014
213,4000223.970133315
214,4271932.184671889
215,3209337.357279311
216,5911078.773294936
217,5100706.896341811
218,4364807.956400405
219,3582543.617899428
220,4913529.365335952
221,4948647.45469142
222,4651437.277689467
223,4509518.439188491
224,5078957.543558608
225,4650271.261209975
226,4517730.825296889
227,6005224.729837905
228,4315454.456400405
229,5253282.681498061
230,5521415.094095717
231,6268099.115091811
232,4637021.044046889
233,4694103.569315444
234,4074957.954935561
235,4936125.240580092
236,4475970.3883462055
237,3498347.421732436
238,4872889.479593764
239,6090462.976419936
240,4632667.916544448
241,4405747.1069131
242,4229138.069376479
243,4914283.45267726
244,5634336.199076186
245,7456627.064798842
246,4624077.828470717
247,5321475.342630873
248,4975971.376932631
249,4008110.2985634906
250,4377311.667826186
251,6056108.098001967
252,5512864.230326186
253,4395186.942911635
254,4435371.456888686
255,4567309.212015639
256,4413861.8569131
257,5572114.075205336
258,3160444.095133315
259,3466403.0380654437
260,5076776.219095717
261,5113990.971781264
262,6547355.497904311
263,4758052.069345961
264,3727580.406107436
265,5233896.970560561
266,4398679.284952651
267,6346790.314310561
268,5132971.013651381
269,4079217.0677285297
270,4626524.342569838
271,3483679.7430214984
272,5215318.977152358
273,4089990.4376015766
274,3720168.397562514
275,6589432.771585952
276,6346674.55210353
277,6198926.195902358
278,4291570.66929103
279,3607361.8148598773
